TEST PARAMETERS:,Ideal,High,Low,Location,Description
Reverse Force Point #3,22.04,26.42,17.67,15.1,Force Specification in N - location in °
Peak Force,,75,0,,Peak Force Specification in N
Mechanical Hysteresis Point #1,45,99,-99,1,Mechanical Hysteresis Specification in % of Forward Scan Force - location in °
Mechanical Hysteresis Point #2,45,99,-99,7,Mechanical Hysteresis Specification in % of Forward Scan Force - location in °
Mechanical Hysteresis Point #3,45,99,-99,15.1,Mechanical Hysteresis Specification in % of Forward Scan Force - location in °
STATS: Index 1 - Full-Close Output (Output #1) ,N/A,20.7,19.3,N/A,Full-Close Tolerance in % of VRef for Cp & Cpk Calculations
STATS: Index 2 - Midpoint Output (Output #1) ,N/A,99,-99,N/A,Midpoint Tolerance in % of VRef for Cp & Cpk Calculations
STATS: Index 3 - Full-Open Location (Output #1) ,N/A,92,88,N/A,Full-Open Tolerance in % of VRef for Cp & Cpk Calculations
STATS: Index 1 - Full-Close Output (Output #2) ,N/A,10.7,9.3,N/A,Full-Close Tolerance in % of VRef for Cp & Cpk Calculations
STATS: Index 2 - Midpoint Output (Output #2) ,N/A,99,-99,N/A,Midpoint Tolerance in % of VRef for Cp & Cpk Calculations
STATS: Index 3 - Full-Open Location (Output #2) ,N/A,47,43,N/A,Full-Open Tolerance in % of VRef for Cp & Cpk Calculations
STATS: Forward Force Point #1,N/A,24.19,17.53,N/A,Force Point Tolerance in N for Cp & Cpk Calculations
STATS: Forward Force Point #2,N/A,99,-99,N/A,Force Point Tolerance in N for Cp & Cpk Calculations
STATS: Forward Force Point #3,N/A,40.88,30.53,N/A,Force Point Tolerance in N for Cp & Cpk Calculations
STATS: Reverse Force Point #1,N/A,13.15,7.82,N/A,Force Point Tolerance in N for Cp & Cpk Calculations
STATS: Reverse Force Point #2,N/A,99,-99,N/A,Force Point Tolerance in N for Cp & Cpk Calculations
STATS: Reverse Force Point #3,N/A,26.42,17.67,N/A,Force Point Tolerance in N for Cp & Cpk Calculations
STATS: Mechanical Hysteresis Point #1,N/A,99,-99,N/A,Mechanical Hysteresis Point Tolerance in % of Forward Scan Force for Cp & Cpk Calculations
STATS: Mechanical Hysteresis Point #2,N/A,99,-99,N/A,Mechanical Hysteresis Point Tolerance in % of Forward Scan Force for Cp & Cpk Calculations
STATS: Mechanical Hysteresis Point #3,N/A,99,-99,N/A,Mechanical Hysteresis Point Tolerance in % of Forward Scan Force for Cp & Cpk Calculations
PTC-04 PARAMETERS:,Value,,,,
TimePuls (PTC-04 #1),70,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
Tpor (PTC-04 #1),7000,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
Tprog (PTC-04 #1),4200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
Thold (PTC-04 #1),1,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
Tsynchro (PTC-04 #1),4200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
TpulsMin (PTC-04 #1),7000,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
TpulsMax (PTC-04 #1),16000,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
SynchroDelay (PTC-04 #1),200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
ByteData (PTC-04 #1),200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
TSentTick (PTC-04 #1),3,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
BaudRate (PTC-04 #1),2400,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
BaudRateSyncID (PTC-04 #1),0,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
VDDLow (PTC-04 #1),0,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
VDDNorm (PTC-04 #1),5,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
VDDComm (PTC-04 #1),8,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
VBatLow (PTC-04 #1),0,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
VBatNorm (PTC-04 #1),6,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #1)"
TimePuls (PTC-04 #2),70,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
Tpor (PTC-04 #2),7000,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
Tprog (PTC-04 #2),4200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
Thold (PTC-04 #2),1,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
Tsynchro (PTC-04 #2),4200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
TpulsMin (PTC-04 #2),7000,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
TpulsMax (PTC-04 #2),16000,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
SynchroDelay (PTC-04 #2),200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
ByteData (PTC-04 #2),200,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
TSentTick (PTC-04 #2),3,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
BaudRate (PTC-04 #2),2400,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
BaudRateSyncID (PTC-04 #2),0,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
VDDLow (PTC-04 #2),0,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
VDDNorm (PTC-04 #2),5,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
VDDComm (PTC-04 #2),8,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
VBatLow (PTC-04 #2),0,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
VBatNorm (PTC-04 #2),6,,,,"Melexis Communication Time Stream Setting, uSec (Programmer #2)"
MLX 90277 Revision Level,FA,,,,Melexis 90277 IC Revision Level
SOLVER PARAMETERS,Value,,,,
Solver Index 1 Ideal Value (Output #1),19.7,,,,Ideal Output at Index Location 1 in % of Applied V (Output #1)
Solver Index 1 Ideal Location (Output #1),0,,,,Ideal Location of Index 1 in ° from pedal zero (Output #1)
Solver Index 1 Target Tolerance (Output #1),0.2,,,,Index 1 Output Target Tolerance in % of Applied (Output #1)
Solver Index 1 Pass/Fail Tolerance (Output #1),0.3,,,,Index 1 Output Pass/Fail Tolerance in % of Applied (Output #1)
Solver Index 2 Ideal Value (Output #1),90,,,,Ideal Output at Index Location 2 in % of Applied V (Output #1)
Solver Index 2 Ideal Location (Output #1),15.1,,,,Ideal Location of Index 2 in ° from pedal zero (Output #1)
Solver Index 2 Target Tolerance (Output #1),0.5,,,,Index 2 Output Target Tolerance in % of Applied (Output #1)
Solver Index 2 Pass/Fail Tolerance (Output #1),0.75,,,,Index 2 Output Pass/Fail Tolerance in % of Applied (Output #1)
Solver Filter Setting (Output #1),15,,,,"MLX Filter Setting, 0-15"
Solver Invert Slope Setting (Output #1),0,,,,"MLX Invert Slope Setting, 0 or 1"
Solver Mode Setting (Output #1),3,,,,"Mode Setting, 0-3"
Solver FaultLevel Setting (Output #1),0,,,,"FaultLevel Setting, 0 or 1"
Solver Maximum Offset Drift Setting (Output #1),14,,,,Maximum Allowable Offset Drift Setting in MLX IC
Solver AGND Setting (Output #1),,450,390,,AGND Setting Range in MLX IC
Solver Oscillator Adjust Setting (Output #1),7,,,,Correct Oscillator Adjust Setting in MLX IC
Solver Capacitor Frequency Adjust Setting (Output #1),1,,,,Correct Capacitor Frequency Adjust Setting in MLX IC
Solver DAC Frequency Adjust Setting (Output #1),0,,,,Correct DAC Frequency Adjust Setting in MLX IC
Solver Slow Setting (Output #1),0,,,,Correct Slow Setting in MLX IC
Solver Initial Offset (Output #1),705,,,,Initial Solver Setting for Offset Integer Value (0-1023) (Output #1)
Higher Rough Gain Higher Fine Gain (Output #1),450,,,,Higher Rough Gain Higher Fine Gain (Output #1)
Higher Rough Gain Lower Fine Gain (Output #1),0,,,,Higher Rough Gain Lower Fine Gain (Output #1)
Lower Rough Gain Higher Fine Gain (Output #1),900,,,,Lower Rough Gain Higher Fine Gain (Output #1)
Lower Rough Gain Lower Fine Gain (Output #1),768,,,,Lower Rough Gain Lower Fine Gain (Output #1)
Solver RG Min (Output #1),13,,,,Minimum Allowable Rough Gain Integer Value (0-15) (Output #1)
Solver RG Max (Output #1),14,,,,Maximum Allowable Rough Gain Integer Value (0-15) (Output #1)
Solver Offset Step (Output #1),-0.1028,,,,Known Melexis Offset Step (%/count) (Output #1)
Solver Programming Test Ratio 1 (Output #1),1.005,,,,Programming Test Ratio 1: Ratio of First Solver Test Gain to the Calculated Gain (Output #1)
Solver Programming Test Ratio 2 (Output #1),1,,,,Programming Test Ratio 2: Ratio of Second Solver Test Gain to the Calculated Gain (Output #1)
Solver Programming Test Ratio 3 (Output #1),0.995,,,,Programming Test Ratio 3: Ratio of Third Solver Test Gain to the Calculated Gain (Output #1)
Solver Clamp Low Ideal (Output #1),18.3,,,,Low Clamp Ideal % of Applied V (Output #1)
Solver Clamp Low Target Tolerance (Output #1),0.25,,,,Low Clamp Target Tolerance % of Applied V (Output #1)
Solver Clamp Low Pass/Fail Tolerance (Output #1),0.4,,,,Low Clamp Pass/Fail Tolerance % of Applied V (Output #1)
Solver Clamp Low Initial Guess (Output #1),180,,,,Initial Solver Setting for Clamp Low Integer Value (0-1023) (Output #1)
Solver Clamp High (Output #1),94.8,,,,High Clamp Ideal % of Applied V (Output #1)
Solver Clamp High Target Tolerance (Output #1),0.15,,,,High Clamp Target Tolerance % of Applied V (Output #1)
Solver Clamp High Pass/Fail Tolerance (Output #1),0.5,,,,High Clamp Pass/Fail Tolerance % of Applied V (Output #1)
Solver Clamp High Initial Guess (Output #1),950,,,,Initial Solver Setting for Clamp High Integer Value (0-1023) (Output #1)
Solver Clamp Step (Output #1),0.104,,,,Known Melexis Clamp Step (%/count) (Output #1)
Solver Index 1 Ideal Value (Output #2),9.9,,,,Ideal Output at Index Location 1 in % of Applied V (Output #2)
Solver Index 1 Ideal Location (Output #2),0,,,,Ideal Location of Index 1 in ° from pedal zero (Output #2)
Solver Index 1 Target Tolerance (Output #2),0.2,,,,Index 1 Output Target Tolerance in % of Applied (Output #2)
Solver Index 1 Pass/Fail Tolerance (Output #2),0.3,,,,Index 1 Output Pass/Fail Tolerance in % of Applied (Output #2)
Solver Index 2 Ideal Value (Output #2),45,,,,Ideal Output at Index Location 2 in % of Applied V (Output #2)
Solver Index 2 Ideal Location (Output #2),15.1,,,,Ideal Location of Index 2 in ° from pedal zero (Output #2)
Solver Index 2 Target Tolerance (Output #2),0.5,,,,Index 2 Output Target Tolerance in % of Applied (Output #2)
Solver Index 2 Pass/Fail Tolerance (Output #2),0.75,,,,Index 2 Output Pass/Fail Tolerance in % of Applied (Output #2)
Solver Filter Setting (Output #2),15,,,,"MLX Filter Setting, 0-15"
Solver Invert Slope Setting (Output #2),0,,,,"MLX Invert Slope Setting, 0 or 1"
Solver Mode Setting (Output #2),3,,,,"Mode Setting, 0-3"
Solver FaultLevel Setting (Output #2),0,,,,"FaultLevel Setting, 0 or 1"
Solver Maximum Offset Drift Setting (Output #2),14,,,,Maximum Allowable Offset Drift Setting in MLX IC
Solver AGND Setting (Output #2),,450,390,,AGND Setting Range in MLX IC
Solver Oscillator Adjust Setting (Output #2),7,,,,Correct Oscillator Adjust Setting in MLX IC
Solver Capacitor Frequency Adjust Setting (Output #2),1,,,,Correct Capacitor Frequency Adjust Setting in MLX IC
Solver DAC Frequency Adjust Setting (Output #2),0,,,,Correct DAC Frequency Adjust Setting in MLX IC
Solver Slow Setting (Output #2),0,,,,Correct Slow Setting in MLX IC
Solver Initial Offset (Output #2),910,,,,Initial Solver Setting for Offset Integer Value (0-1023) (Output #2)
Higher Rough Gain Higher Fine Gain (Output #2),512,,,,Higher Rough Gain Higher Fine Gain (Output #2)
Higher Rough Gain Lower Fine Gain (Output #2),0,,,,Higher Rough Gain Lower Fine Gain (Output #2)
Lower Rough Gain Higher Fine Gain (Output #2),1023,,,,Lower Rough Gain Higher Fine Gain (Output #2)
Lower Rough Gain Lower Fine Gain (Output #2),768,,,,Lower Rough Gain Lower Fine Gain (Output #2)
Solver RG Min (Output #2),10,,,,Minimum Allowable Rough Gain Integer Value (0-15) (Output #2)
Solver RG Max (Output #2),11,,,,Maximum Allowable Rough Gain Integer Value (0-15) (Output #2)
Solver OffsetStep (Output #2),-0.1028,,,,Known Melexis Offset Step (%/count) (Output #2)
Solver Programming Test Ratio 1 (Output #2),1.005,,,,Programming Test Ratio 1: Ratio of First Solver Test Gain to the Calculated Gain (Output #2)
Solver Programming Test Ratio 2 (Output #2),1,,,,Programming Test Ratio 2: Ratio of Second Solver Test Gain to the Calculated Gain (Output #2)
Solver Programming Test Ratio 3 (Output #2),0.995,,,,Programming Test Ratio 3: Ratio of Third Solver Test Gain to the Calculated Gain (Output #2)
Solver Clamp Low Ideal (Output #2),9.26,,,,Low Clamp Ideal % of Applied V (Output #2)
Solver Clamp Low Target Tolerance (Output #2),0.25,,,,Low Clamp Target Tolerance % of Applied V (Output #2)
Solver Clamp Low Pass/Fail Tolerance (Output #2),0.4,,,,Low Clamp Pass/Fail Tolerance % of Applied V (Output #2)
Solver Clamp Low Initial Guess (Output #2),92,,,,Initial Solver Setting for Clamp Low Integer Value (0-1023) (Output #2)
Solver Clamp High (Output #2),47.2,,,,High Clamp Ideal % of Applied V (Output #2)
Solver Clamp High Target Tolerance (Output #2),0.15,,,,High Clamp Target Tolerance % of Applied V (Output #2)
Solver Clamp High Pass/Fail Tolerance (Output #2),0.5,,,,High Clamp Pass/Fail Tolerance % of Applied V (Output #2)
Solver Clamp High Initial Guess (Output #2),470,,,,Initial Solver Setting for Clamp High Integer Value (0-1023) (Output #2)
Solver Clamp Step (Output #2),0.104,,,,Known Melexis Clamp Step (%/count) (Output #2)
MACHINE PARAMETERS:,Value,,,,Description
Parameter File Name,705-99-140 Clamp.csv,,,,Parameter File Name
Parameter File Revision,3.6.0,,,,Parameter File Revision
BOM Number,0,,,,Bill of Materials Number
Station Code,3,,,,"1 = Program; 2 = Scan, 3 = Program & Scan"
Series ID,705,,,,Customer Series Number
PLC Control,0,,,,0 = No PLC; 1 = DDE PLC Communication; 2 = TTL PLC Communication
Rising Point Target,0.45,,,,Rising Point Target for KD calculations
Load Location,23,,,,Location of Scanner Drive Arm for Part Load/Unload in ° from Encoder zero
PreScan Start,24,,,,Location to start looking for Pedal At Rest Location in ° from Encoder zero
PreScan Stop,31,,,,Location to stop looking for Pedal At Rest Location in ° from Encoder zero
Offset For Start Scan,0.3,,,,Distance before found Pedal Zero Location to start acquiring Scan data in °
Scan Length,18.7,,,,Distance to scan in ° (including Offset For Start Scan)
Over Travel,0.7,,,,Distance beyond ScanEnd to scan in °
Count Per Trigger,2,,,,Number of counts per Trigger to acquire data
Gear Ratio,-100,,,,Gear Ratio of all gearing in drive system
Encoder Resolution,36000,,,,9000 Line Encoder with quadrature
